IDRPoste;ADRPoste;CodeCommuneINSEE;NomCommune;DemandeProximite;CapaciteSansContrainte;ZoneTarifaireTURPE;PlageTarifInjection;Gabarit;CapacitePosteGabarit;NomZoneGabarit;CapaciteZoneGabarit
PLAUDP4;POSTE 90kV N0 1 PLAUD;87154;Saint-Junien;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
PLAUDP7;POSTE 400kV N0 1 PLAUD;87154;Saint-Junien;;< 5 MW;;;;;;
PLESSP4;POSTE 90kV N0 1 PLESSES (LES);85194;Les Sables-d'Olonne;;< 5 MW;zone soutirage;;;;;
PLEUMP4;POSTE 90kV N0 1 PLEUMARTIN;86193;Pleumartin;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
PLOE5P3;POSTE 63kV N0 1 PLOEREN;56164;Ploeren;;< 5 MW;zone soutirage;;;;;
PLOMBP3;POSTE 63kV N0 1 PLOMBIERES;70245;Fougerolles-Saint-Valbert;;< 5 MW;;;;;;
PLOUGP3;POSTE 63kV N0 1 PLOUGASTEL;29189;Plougastel-Daoulas;;< 5 MW;;;;;;
PLOURP3;POSTE 63kV N0 1 PLOURHAN;22232;Plourhan;;< 5 MW;;;;;;
PLOUVP3;POSTE 63kV N0 1 PLOUVARA;22234;Plouvara;;< 5 MW;;;;;;
PLUMAP4;POSTE 90kV N0 1 PLUMASSERIE (LA);72181;Le Mans;;< 5 MW;zone soutirage;;;;;
PLUVIP3;POSTE 63kV N0 1 PLUVIGNER;56177;Pluvigner;;< 5 MW;;;;;;
PLUVIP6;POSTE 225kV N0 1 PLUVIGNER;56177;Pluvigner;;< 5 MW;;;;;;
PODENP3;POSTE 63kV N0 1 PODENSAC;33327;Podensac;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
POISAP4;POSTE 90kV N0 1 POISARD;41047;La Chaussée-Saint-Victor;;< 5 MW;zone soutirage;;;;;
POISEP3;POSTE 63kV N0 1 POISEUL;21489;Poiseul-la-Grange;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
POISSP3;POSTE 63kV N0 1 POISSY;78498;Poissy;;< 5 MW;zone soutirage;;;;;
POITIP4;POSTE 90kV N0 1 POITIERS;86214;Saint-Benoît;;< 5 MW;zone soutirage;;;;;
POL45P4;POSTE 90kV N0 1 POLE 45;45235;Ormes;;< 5 MW;zone soutirage;;;;;
POLISP3;POSTE 63kV N0 1 POLISOT;10295;Polisot;;< 5 MW;;;;;;
POLY5P3;POSTE 63kV N0 1 POLYGONE (CLIENT);26362;Valence;;< 5 MW;zone soutirage;;;;;
POMERP4;POSTE 90kV N0 1 POMEROL;33243;Libourne;;< 5 MW;zone soutirage;;;;;
POMPIP3;POSTE 63kV N0 1 POMPIGNAC;33330;Pompignac;;< 5 MW;zone soutirage;;;;;
PONS P4;POSTE 90kV N0 1 PONS;17283;Pons;;< 5 MW;zone soutirage;;;;;
PONTEP6;POSTE 225kV N0 1 PONTEAU;13056;Martigues;;< 5 MW;;;;;;
PONTEP7;POSTE 400kV N0 1 PONTEAU;13056;Martigues;;< 5 MW;;;;;;
PORCHP3;POSTE 63kV N0 1 PORCHEVILLE;78501;Porcheville;;< 5 MW;zone soutirage;;;;;
PORCHP4;POSTE 90kV N0 1 PORCHEVILLE;78501;Porcheville;;< 5 MW;zone soutirage;;;;;
PORCHP6;POSTE 225kV N0 1 PORCHEVILLE;78501;Porcheville;;< 5 MW;zone soutirage;;;;;
PORNIP3;POSTE 63kV N0 1 PORNIC;44131;Pornic;;< 5 MW;;;;;;
PORT7P3;POSTE 63kV N0 1 PORTE;35236;Redon;;< 5 MW;zone soutirage;;;;;
POUANP4;POSTE 90kV N0 1 POUANCE;49248;Ombrée d'Anjou;;< 5 MW;zone injection PV;du 1er mai au 2 septembre inclus;;;;
POURPP3;POSTE 63kV N0 1 POURPRISES(LES);89074;Champigny;;< 5 MW;zone soutirage;;;;;
POUZAP4;POSTE 90kV N0 1 POUZAUGES;85182;Pouzauges;;< 5 MW;;;;;;
